seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
190,1777463863042764773,1777463863051058001,8293228
191,1777463863061206758,1777463863063018267,1811509
192,1777463863073195202,1777463863077952211,4757009
193,1777463863088116707,1777463863102258673,14141966
194,1777463863112389344,1777463863119182231,6792887
195,1777463863129390847,1777463863130994597,1603750
196,1777463863141097817,1777463863153579459,12481642
197,1777463863163717956,1777463863166848844,3130888
198,1777463863177122839,1777463863178731642,1608803
199,1777463863188903846,1777463863226284076,37380230
200,1777463863236476293,1777463863238326156,1849863
201,1777463863248504227,1777463863300282156,51777929
202,1777463863310426727,1777463863311896188,1469461
203,1777463863322087887,1777463863328194385,6106498
204,1777463863338398056,1777463863357625596,19227540
205,1777463863367758520,1777463863371268192,3509672
206,1777463863381508573,1777463863388097960,6589387
207,1777463863398231103,1777463863402890545,4659442
208,1777463863413109527,1777463863414791426,1681899
209,1777463863424938704,1777463863432539797,7601093
210,1777463863442703726,1777463863471641704,28937978
211,1777463863481777645,1777463863486794578,5016933
212,1777463863496951575,1777463863501825903,4874328
213,1777463863512105849,1777463863523504248,11398399
214,1777463863533676722,1777463863535182206,1505484
215,1777463863545449502,1777463863547485722,2036220
216,1777463863557645606,1777463863565604768,7959162
217,1777463863575757060,1777463863590667116,14910056
218,1777463863600915170,1777463863617298144,16382974
219,1777463863627437075,1777463863635739548,8302473
220,1777463863645874775,1777463863648203405,2328630
221,1777463863658426357,1777463863715253597,56827240
222,1777463863725383818,1777463863728145773,2761955
223,1777463863738509657,1777463863740095171,1585514
224,1777463863750273456,1777463863755217206,4943750
225,1777463863765443964,1777463863812001868,46557904
226,1777463863822162153,1777463863823716765,1554612
227,1777463863833867084,1777463863839591304,5724220
228,1777463863849735042,1777463863852426901,2691859
229,1777463863862681276,1777463863881407601,18726325
230,1777463863891545296,1777463863894984968,3439672
231,1777463863905235039,1777463863919189585,13954546
232,1777463863929333457,1777463863946337131,17003674
233,1777463863956596110,1777463863961974702,5378592
234,1777463863972117110,1777463863999047041,26929931
235,1777463864009257246,1777463864074677386,65420140
236,1777463864084946968,1777463864086769719,1822751
237,1777463864097031304,1777463864101439161,4407857
238,1777463864111699117,1777463864169686999,57987882
239,1777463864180000344,1777463864182177901,2177557
240,1777463864192455584,1777463864197954988,5499404
241,1777463864208266418,1777463864231995754,23729336
242,1777463864242126439,1777463864249259332,7132893
243,1777463864259572254,1777463864262540700,2968446
244,1777463864272811485,1777463864288111600,15300115
245,1777463864298281335,1777463864311204717,12923382
246,1777463864321440866,1777463864331051094,9610228
247,1777463864341265748,1777463864348351598,7085850
248,1777463864358681151,1777463864360481456,1800305
249,1777463864370779341,1777463864379276994,8497653
250,1777463864389416822,1777463864402689680,13272858
251,1777463864412845068,1777463864445103190,32258122
252,1777463864455244201,1777463864456845717,1601516
253,1777463864467143407,1777463864468749365,1605958
254,1777463864479089995,1777463864487951515,8861520
255,1777463864498094505,1777463864536090580,37996075
256,1777463864546269010,1777463864548274243,2005233
257,1777463864558443551,1777463864563123284,4679733
258,1777463864573315253,1777463864577947614,4632361
259,1777463864588093154,1777463864589943651,1850497
260,1777463864600151694,1777463864611770950,11619256
261,1777463864621917815,1777463864632854037,10936222
262,1777463864642998807,1777463864649955712,6956905
263,1777463864660088243,1777463864661750718,1662475
264,1777463864672018953,1777463864689014748,16995795
265,1777463864699169408,1777463864702228983,3059575
266,1777463864712490472,1777463864714328722,1838250
267,1777463864724477858,1777463864798371005,73893147
268,1777463864808537212,1777463864815753965,7216753
269,1777463864826023517,1777463864877266463,51242946
270,1777463864887409136,1777463864976754676,89345540
271,1777463864986916162,1777463864998616557,11700395
272,1777463865008804572,1777463865017256236,8451664
273,1777463865027525237,1777463865053463749,25938512
274,1777463865063727546,1777463865069675892,5948346
275,1777463865079892967,1777463865089604196,9711229
276,1777463865099787246,1777463865102579530,2792284
277,1777463865112914938,1777463865119869449,6954511
278,1777463865130146783,1777463865144478005,14331222
279,1777463865154653462,1777463865173829900,19176438
280,1777463865183956530,1777463865192620513,8663983
281,1777463865202773281,1777463865207357097,4583816
282,1777463865217488744,1777463865225507085,8018341
283,1777463865235766085,1777463865245326286,9560201
284,1777463865255481191,1777463865257120069,1638878
285,1777463865267259404,1777463865275966545,8707141
286,1777463865286113769,1777463865287828816,1715047
287,1777463865298102352,1777463865346931624,48829272
288,1777463865357230188,1777463865366694483,9464295
289,1777463865376960842,1777463865381467088,4506246
290,1777463865391775200,1777463865433270712,41495512
291,1777463865443414924,1777463865456278033,12863109
292,1777463865466426248,1777463865480360488,13934240
293,1777463865490524752,1777463865492252123,1727371
294,1777463865502383598,1777463865534989223,32605625
295,1777463865545164048,1777463865550815225,5651177
296,1777463865560998142,1777463865562755463,1757321
297,1777463865573091722,1777463865581103000,8011278
298,1777463865591369189,1777463865593391246,2022057
299,1777463865603553200,1777463865611890897,8337697
300,1777463865622316718,1777463865626306731,3990013
301,1777463865636571432,1777463865638677065,2105633
302,1777463865648816209,1777463865656719723,7903514
303,1777463865666893903,1777463865668888002,1994099
304,1777463865679159496,1777463865688431601,9272105
305,1777463865698629011,1777463865728739279,30110268
306,1777463865738905734,1777463865742692720,3786986
307,1777463865752951864,1777463865756184951,3233087
308,1777463865766313069,1777463865770630023,4316954
309,1777463865780817937,1777463865785712415,4894478
310,1777463865796012999,1777463865797742343,1729344
311,1777463865808040138,1777463865822657068,14616930
312,1777463865832879026,1777463865840784788,7905762
313,1777463865850910758,1777463865862846755,11935997
314,1777463865873090114,1777463865879108154,6018040
315,1777463865889262506,1777463865891115733,1853227
316,1777463865901277512,1777463865903392456,2114944
317,1777463865913588768,1777463865987289667,73700899
318,1777463865997566739,1777463865999364124,1797385
319,1777463866009525024,1777463866013703430,4178406
320,1777463866023901912,1777463866027257759,3355847
321,1777463866037395249,1777463866046753686,9358437
322,1777463866057040933,1777463866069804695,12763762
323,1777463866080099032,1777463866098201814,18102782
324,1777463866108344080,1777463866113181006,4836926
325,1777463866123539024,1777463866125821425,2282401
326,1777463866135947709,1777463866170039903,34092194
327,1777463866180230943,1777463866199967476,19736533
328,1777463866210211886,1777463866216661531,6449645
329,1777463866226830752,1777463866228754030,1923278
330,1777463866238933692,1777463866253758265,14824573
331,1777463866263889315,1777463866301933436,38044121
332,1777463866312208632,1777463866315843805,3635173
333,1777463866326014660,1777463866328315918,2301258
334,1777463866338566041,1777463866342398877,3832836
335,1777463866352540787,1777463866354841313,2300526
336,1777463866365107030,1777463866404894952,39787922
337,1777463866415063120,1777463866492116244,77053124
338,1777463866502255473,1777463866504155751,1900278
339,1777463866514345727,1777463866517231566,2885839
340,1777463866527369012,1777463866535030945,7661933
341,1777463866545262496,1777463866558923539,13661043
342,1777463866569108698,1777463866595112486,26003788
343,1777463866605245659,1777463866607325797,2080138
344,1777463866617468753,1777463866626320090,8851337
345,1777463866636456714,1777463866638423117,1966403
346,1777463866648551582,1777463866650621447,2069865
347,1777463866660966486,1777463866662960251,1993765
348,1777463866673207789,1777463866711266654,38058865
349,1777463866721413436,1777463866727730969,6317533
350,1777463866737892475,1777463866740919688,3027213
351,1777463866751094874,1777463866767600388,16505514
352,1777463866777762953,1777463866781651396,3888443
353,1777463866791845383,1777463866794336960,2491577
354,1777463866804465555,1777463866806971897,2506342
355,1777463866817100252,1777463866821094358,3994106
356,1777463866831234590,1777463866841872656,10638066
357,1777463866852011761,1777463866855513786,3502025
358,1777463866865780748,1777463866872304598,6523850
359,1777463866882432095,1777463866891723094,9290999
360,1777463866901974837,1777463866917160925,15186088
361,1777463866927297477,1777463866942237090,14939613
362,1777463866952372105,1777463866957786284,5414179
363,1777463866967915730,1777463866970008509,2092779
364,1777463866999962303,1777463867006005301,6042998
365,1777463867016175759,1777463867022649510,6473751
366,1777463867032798747,1777463867051420312,18621565
367,1777463867061590973,1777463867124036177,62445204
368,1777463867134191175,1777463867140424788,6233613
369,1777463867150558448,1777463867152948132,2389684
370,1777463867163203816,1777463867228449636,65245820
371,1777463867238601942,1777463867257534685,18932743
372,1777463867267812235,1777463867276918372,9106137
373,1777463867287061445,1777463867293945485,6884040
374,1777463867304364725,1777463867306299974,1935249
375,1777463867316473162,1777463867322330471,5857309
376,1777463867332464401,1777463867336729456,4265055
377,1777463867346978916,1777463867362824117,15845201
378,1777463867373115535,1777463867379463302,6347767
379,1777463867389740237,1777463867402049381,12309144
380,1777463867412312973,1777463867424348198,12035225
381,1777463867434492560,1777463867436352928,1860368
382,1777463867446455945,1777463867456923389,10467444
383,1777463867467087182,1777463867470238240,3151058
384,1777463867480508855,1777463867488766987,8258132
385,1777463867498961606,1777463867500784860,1823254
386,1777463867510949702,1777463867518467800,7518098
387,1777463867528917042,1777463867563100469,34183427
388,1777463867573237865,1777463867581560960,8323095
389,1777463867591725768,1777463867633077929,41352161
390,1777463867643238680,1777463867647337803,4099123
391,1777463867657473045,1777463867663245762,5772717
392,1777463867673377261,1777463867684904703,11527442
393,1777463867695096565,1777463867708958784,13862219
394,1777463867719138434,1777463867728032828,8894394
395,1777463867738171385,1777463867739874147,1702762
396,1777463867750006835,1777463867754948992,4942157
397,1777463867765095149,1777463867766891747,1796598
398,1777463867777164170,1777463867789856335,12692165
399,1777463867800003626,1777463867808176320,8172694
400,1777463867818345651,1777463867824224584,5878933
401,1777463867834438920,1777463867838426556,3987636
402,1777463867848630511,1777463867854150081,5519570
403,1777463867864291252,1777463867873607915,9316663
404,1777463867883740955,1777463867888400185,4659230
405,1777463867898529256,1777463867919388542,20859286
406,1777463867929535329,1777463867933127361,3592032
407,1777463867943284002,1777463867945479347,2195345
408,1777463867955634619,1777463867969316999,13682380
409,1777463867979578084,1777463867991640365,12062281
410,1777463868001770883,1777463868023598263,21827380
411,1777463868033853556,1777463868036028953,2175397
412,1777463868046192950,1777463868051178511,4985561
413,1777463868061393186,1777463868131831791,70438605
414,1777463868142141271,1777463868145902054,3760783
